N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto
C562884,10/8/2021,14056,United Kingdom,-3,"-9,75"
C560842,21/7/2021,14527,United Kingdom,-1,"-12,15"
542936,2/2/2021,,United Kingdom,144,"161,56"
565682,6/9/2021,14796,United Kingdom,467,"835,95"
C562514,5/8/2021,13408,United Kingdom,-1,"-11,95"
562220,3/8/2021,15150,United Kingdom,108,"304,42"
562002,1/8/2021,14567,United Kingdom,172,"800,76"
C561210,25/7/2021,17841,United Kingdom,-10,"-12,50"
C545502,3/3/2021,15078,United Kingdom,-10,"-19,50"
538010,9/12/2020,17526,United Kingdom,40,"226,80"
579089,28/11/2021,17920,United Kingdom,58,"111,11"
560713,20/7/2021,16774,United Kingdom,56,"160,80"
571098,13/10/2021,17841,United Kingdom,200,"437,43"
574994,8/11/2021,17870,United Kingdom,62,"143,11"
570257,10/10/2021,13767,United Kingdom,129,"380,31"
541669,20/1/2021,17315,United Kingdom,172,"331,76"
C560687,20/7/2021,14606,United Kingdom,-28,"-23,37"
C569891,6/10/2021,13924,United Kingdom,-19,"-65,09"
552404,9/5/2021,15932,United Kingdom,262,"305,02"
566035,8/9/2021,12839,United Kingdom,286,"413,58"
576911,17/11/2021,17461,United Kingdom,342,"349,20"
572272,21/10/2021,13171,United Kingdom,60,"132,54"
577783,21/11/2021,18139,United Kingdom,1644,"2786,40"
578757,25/11/2021,12748,United Kingdom,256,"420,41"
C553557,17/5/2021,13266,United Kingdom,-2,"-3,20"
542351,27/1/2021,14560,United Kingdom,39,"152,25"
558245,27/6/2021,,United Kingdom,8,"0,00"
C578090,22/11/2021,12483,Sweden,-2,"-80,00"
559164,6/7/2021,16422,United Kingdom,406,"587,46"
578150,23/11/2021,16020,United Kingdom,10,"16,50"
558770,3/7/2021,12748,United Kingdom,60,"115,55"
C569552,4/10/2021,14533,United Kingdom,-1200,"-84,00"
C550646,19/4/2021,16873,United Kingdom,-6,"-14,40"
C571329,17/10/2021,17706,United Kingdom,-13,"-50,80"
C544557,21/2/2021,17422,United Kingdom,-15,"-55,35"
C539277,16/12/2020,15777,United Kingdom,-3,"-25,50"
C577731,21/11/2021,17811,United Kingdom,-6,"-11,70"
580386,4/12/2021,18065,United Kingdom,50,"188,90"
C553866,19/5/2021,14620,United Kingdom,-26,"-19,50"
570252,10/10/2021,14665,United Kingdom,238,"559,52"
536782,2/12/2020,17567,United Kingdom,244,"517,95"
C544594,21/2/2021,15079,United Kingdom,-1,"-1,95"
571082,13/10/2021,,United Kingdom,479,"1354,71"
551984,5/5/2021,15841,United Kingdom,234,"281,66"
C554931,27/5/2021,17841,United Kingdom,-4,"-5,00"
564476,25/8/2021,12610,Italy,168,"309,50"
540353,6/1/2021,13764,United Kingdom,282,"499,89"
558706,1/7/2021,16839,United Kingdom,320,"416,96"
566278,11/9/2021,13614,United Kingdom,67,"302,15"
540477,7/1/2021,13233,United Kingdom,404,"304,24"
569695,5/10/2021,16843,United Kingdom,938,"993,88"
C556920,15/6/2021,13047,United Kingdom,-3,"-13,85"
C543469,8/2/2021,12709,Germany,-12,"-83,98"
538308,10/12/2020,14107,United Kingdom,268,"363,24"
549054,6/4/2021,17719,United Kingdom,109,"312,19"
555626,6/6/2021,16103,United Kingdom,92,"270,80"
C572343,24/10/2021,14607,United Kingdom,-2344,"-2949,28"
C558530,30/6/2021,15039,United Kingdom,-2,"-17,00"
563921,21/8/2021,16407,United Kingdom,2,"15,90"
563943,22/8/2021,13139,United Kingdom,268,"540,92"
575854,11/11/2021,14125,United Kingdom,486,"1111,08"
552764,11/5/2021,17489,United Kingdom,232,"208,56"
571407,17/10/2021,13750,United Kingdom,85,"330,63"
548208,29/3/2021,14189,United Kingdom,224,"314,10"
556922,15/6/2021,12748,United Kingdom,5,"14,25"
572076,20/10/2021,13761,United Kingdom,418,"578,94"
544189,16/2/2021,15867,United Kingdom,36,"133,00"
562543,5/8/2021,13552,United Kingdom,216,"463,90"
573136,27/10/2021,12709,Germany,110,"268,68"
558261,28/6/2021,16945,United Kingdom,24,"10,08"
581482,9/12/2021,17490,United Kingdom,228,"488,40"
579740,30/11/2021,,United Kingdom,13,"32,07"
559538,10/7/2021,16880,United Kingdom,135,"269,49"
548862,4/4/2021,17956,United Kingdom,1,"12,75"
565569,5/9/2021,14111,United Kingdom,18,"48,30"
556047,8/6/2021,12901,United Kingdom,90,"276,24"
548189,29/3/2021,16607,United Kingdom,163,"141,41"
557213,17/6/2021,15021,United Kingdom,119,"218,14"
549142,6/4/2021,,United Kingdom,-24,"0,00"
571310,17/10/2021,13394,United Kingdom,463,"371,73"
542254,26/1/2021,14733,United Kingdom,133,"511,69"
576674,16/11/2021,,United Kingdom,-6,"0,00"
C553841,19/5/2021,16029,United Kingdom,-48,"-9,60"
548546,31/3/2021,16600,United Kingdom,186,"111,60"
558563,30/6/2021,14561,United Kingdom,192,"344,92"
543385,7/2/2021,,United Kingdom,1,"7,95"
546034,9/3/2021,14032,United Kingdom,291,"309,64"
557602,21/6/2021,14110,United Kingdom,156,"379,72"
544596,21/2/2021,16441,United Kingdom,110,"211,00"
553006,12/5/2021,15544,United Kingdom,393,"560,35"
542634,31/1/2021,15448,United Kingdom,232,"494,64"
540536,9/1/2021,17757,United Kingdom,93,"145,50"
536568,1/12/2020,16048,United Kingdom,12,"5,04"
545686,6/3/2021,18211,United Kingdom,56,"137,90"
553861,19/5/2021,13591,United Kingdom,135,"314,03"
C551015,26/4/2021,12753,Japan,-33,"-85,47"
567370,20/9/2021,14236,United Kingdom,272,"301,56"
560034,14/7/2021,13933,United Kingdom,113,"300,99"
547419,23/3/2021,15061,United Kingdom,1135,"1649,58"
C565681,6/9/2021,15521,United Kingdom,-92,"-192,40"
565081,1/9/2021,,United Kingdom,1,"0,00"
565680,6/9/2021,14560,United Kingdom,240,"100,80"
561244,26/7/2021,13865,United Kingdom,54,"100,82"
C576831,16/11/2021,12748,United Kingdom,-1082,"-1301,00"
542155,26/1/2021,15777,United Kingdom,112,"285,60"
572023,20/10/2021,17764,United Kingdom,247,"556,85"
577749,21/11/2021,16242,United Kingdom,299,"534,20"
C537383,6/12/2020,16550,United Kingdom,-3,"-9,05"
550901,21/4/2021,13389,United Kingdom,115,"257,89"
555546,5/6/2021,17735,United Kingdom,118,"228,30"
561900,31/7/2021,16655,United Kingdom,523,"638,19"
547963,28/3/2021,13037,United Kingdom,158,"250,42"
575968,13/11/2021,14882,United Kingdom,92,"341,80"
571745,19/10/2021,14911,EIRE,711,"1588,75"
539986,23/12/2020,,United Kingdom,7,"15,25"
543115,3/2/2021,14606,United Kingdom,72,"120,75"
552947,12/5/2021,16943,United Kingdom,20,"172,10"
550002,14/4/2021,12709,Germany,41,"68,00"
551320,27/4/2021,,United Kingdom,60,"0,00"
569539,4/10/2021,18102,United Kingdom,112,"557,76"
569863,6/10/2021,,United Kingdom,1,"9,95"
545812,7/3/2021,14214,United Kingdom,313,"638,65"
569740,6/10/2021,15769,United Kingdom,1600,"2924,00"
564648,26/8/2021,15641,United Kingdom,466,"581,82"
573751,1/11/2021,,United Kingdom,10,"0,00"
551859,4/5/2021,14336,United Kingdom,301,"230,03"
538070,9/12/2020,16519,United Kingdom,24,"103,70"
576848,16/11/2021,15051,United Kingdom,124,"245,68"
546442,14/3/2021,15159,United Kingdom,54,"207,30"
560422,18/7/2021,16746,United Kingdom,162,"300,18"
541967,24/1/2021,,United Kingdom,-3,"0,00"
C546894,17/3/2021,14334,United Kingdom,-1,"-12,75"
559948,14/7/2021,12653,Israel,633,"1430,75"
539688,21/12/2020,12678,France,1,"150,00"
548916,5/4/2021,14849,United Kingdom,377,"422,34"
576767,16/11/2021,,United Kingdom,-60,"0,00"
565851,7/9/2021,14911,EIRE,332,"637,29"
538909,15/12/2020,13491,United Kingdom,18,"97,50"
553475,17/5/2021,18102,United Kingdom,306,"866,40"
536523,1/12/2020,12868,United Kingdom,112,"203,30"
547571,24/3/2021,16265,United Kingdom,182,"432,30"
557871,23/6/2021,13458,United Kingdom,130,"300,78"
C565290,2/9/2021,16092,United Kingdom,-24,"-30,00"
553017,12/5/2021,12757,Portugal,311,"602,83"
549471,8/4/2021,17389,United Kingdom,72,"73,50"
573924,2/11/2021,15065,United Kingdom,202,"299,38"
C554011,20/5/2021,13151,United Kingdom,-2,"-7,50"
576641,16/11/2021,17549,United Kingdom,150,"120,66"
574746,7/11/2021,16523,United Kingdom,198,"676,80"
546019,8/3/2021,14507,United Kingdom,50,"39,49"
556809,14/6/2021,17179,United Kingdom,82,"223,48"
567768,22/9/2021,15950,United Kingdom,123,"255,84"
574661,6/11/2021,13447,United Kingdom,166,"430,30"
C575940,13/11/2021,17838,United Kingdom,-458,"-466,60"
549838,12/4/2021,16705,United Kingdom,48,"96,00"
547519,23/3/2021,16308,United Kingdom,1000,"320,00"
C554140,23/5/2021,13004,United Kingdom,-4,"-15,80"
C558736,1/7/2021,18075,United Kingdom,-4,"-18,28"
577080,17/11/2021,17001,United Kingdom,172,"357,60"
560048,14/7/2021,13515,United Kingdom,127,"132,16"
C566963,15/9/2021,17573,United Kingdom,-6,"-17,70"
568709,28/9/2021,15036,United Kingdom,176,"219,86"
539651,20/12/2020,,United Kingdom,26,"32,50"
578171,23/11/2021,17685,United Kingdom,207,"392,40"
576400,15/11/2021,13632,United Kingdom,288,"452,14"
557640,21/6/2021,,United Kingdom,364,"1760,85"
543013,2/2/2021,,United Kingdom,310,"1340,77"
542083,25/1/2021,18008,United Kingdom,355,"130,81"
579759,30/11/2021,15251,United Kingdom,244,"363,88"
552215,6/5/2021,,United Kingdom,-41,"0,00"
537628,7/12/2020,16293,United Kingdom,189,"378,75"
542096,25/1/2021,17236,United Kingdom,141,"199,33"
549149,6/4/2021,,United Kingdom,-43,"0,00"
C541284,17/1/2021,17744,United Kingdom,-36,"-31,32"
576909,17/11/2021,12471,Germany,519,"1072,12"
560105,14/7/2021,16794,United Kingdom,263,"222,13"
541709,21/1/2021,17504,United Kingdom,233,"441,15"
578272,23/11/2021,17463,United Kingdom,126,"198,31"
555363,2/6/2021,14453,United Kingdom,49,"119,93"
566033,8/9/2021,16031,United Kingdom,204,"243,31"
571545,17/10/2021,,United Kingdom,11,"13,65"
562155,3/8/2021,17940,United Kingdom,648,"162,00"
C575142,8/11/2021,17183,United Kingdom,-30,"-37,50"
561047,24/7/2021,16948,United Kingdom,1368,"194,48"
C544442,20/2/2021,15465,United Kingdom,-3,"-32,85"
568527,27/9/2021,13178,United Kingdom,539,"765,00"
563382,16/8/2021,18221,United Kingdom,145,"169,85"
C560220,15/7/2021,14572,United Kingdom,-1,"-12,75"
C548647,1/4/2021,12888,United Kingdom,-3,"-29,85"
549196,7/4/2021,14911,EIRE,271,"356,23"
577599,21/11/2021,15738,United Kingdom,202,"316,90"
569567,5/10/2021,16059,United Kingdom,40,"105,30"
576347,14/11/2021,13268,United Kingdom,2,"8,20"
544569,21/2/2021,16980,United Kingdom,418,"732,36"
542865,1/2/2021,12929,United Kingdom,37,"117,85"
562789,9/8/2021,14646,Netherlands,7807,"12341,21"
567798,22/9/2021,13089,United Kingdom,331,"886,63"
C539838,22/12/2020,13458,United Kingdom,-10,"-16,50"
565577,5/9/2021,14177,United Kingdom,2,"7,50"
550915,21/4/2021,13263,United Kingdom,69,"133,59"
541293,17/1/2021,15311,United Kingdom,145,"394,57"
578688,25/11/2021,16719,United Kingdom,235,"292,67"
560896,21/7/2021,15623,United Kingdom,125,"301,03"
561711,29/7/2021,13414,United Kingdom,368,"532,80"
C575385,9/11/2021,15916,United Kingdom,-3,"-18,55"
C571023,13/10/2021,15239,United Kingdom,-3,"-16,25"
575701,10/11/2021,13396,United Kingdom,461,"973,72"
547886,28/3/2021,13652,United Kingdom,178,"329,44"
562467,5/8/2021,13513,United Kingdom,109,"205,10"
563927,21/8/2021,14013,United Kingdom,258,"199,22"
C565229,2/9/2021,17450,United Kingdom,-1,"-200,00"
581471,8/12/2021,14702,United Kingdom,76,"199,29"
573230,28/10/2021,13199,United Kingdom,48,"85,92"
568656,28/9/2021,14911,EIRE,70,"141,62"
554502,24/5/2021,14289,United Kingdom,26,"124,68"
581017,7/12/2021,14910,United Kingdom,80,"110,80"
C540118,5/1/2021,,United Kingdom,-1,"-16453,71"
540116,5/1/2021,,United Kingdom,2,"10,13"
546428,13/3/2021,12681,France,185,"343,29"
571090,13/10/2021,15271,United Kingdom,34,"79,50"
540856,12/1/2021,16655,United Kingdom,373,"812,25"
568242,26/9/2021,14931,Channel Islands,181,"261,65"
557599,21/6/2021,,United Kingdom,-1440,"0,00"
550713,20/4/2021,15159,United Kingdom,1,"12,50"
542100,25/1/2021,15339,United Kingdom,159,"257,90"
549833,12/4/2021,13458,United Kingdom,666,"1015,14"
571918,19/10/2021,17350,United Kingdom,240,"156,24"
566983,16/9/2021,,United Kingdom,1,"0,00"
537432,6/12/2020,,United Kingdom,-43,"0,00"
537759,8/12/2020,13126,United Kingdom,108,"203,64"
554128,23/5/2021,,United Kingdom,-4,"0,00"
555940,8/6/2021,14191,United Kingdom,98,"357,60"
C574318,3/11/2021,16729,United Kingdom,-7,"-20,20"
560834,21/7/2021,16523,United Kingdom,204,"484,40"
554366,24/5/2021,17450,United Kingdom,3084,"9468,48"
566520,13/9/2021,17757,United Kingdom,61,"161,19"
537471,7/12/2020,14344,United Kingdom,3,"17,85"
562034,2/8/2021,12449,Belgium,267,"777,95"
C562709,8/8/2021,17511,United Kingdom,-11,"-29,49"
572516,24/10/2021,,United Kingdom,-71,"0,00"
561108,25/7/2021,,United Kingdom,-7,"0,00"
568332,26/9/2021,13434,United Kingdom,240,"461,40"
556823,15/6/2021,,United Kingdom,8,"77,72"
C574010,2/11/2021,17841,United Kingdom,-3,"-10,35"
537456,7/12/2020,17450,United Kingdom,780,"1989,24"
569693,5/10/2021,17837,United Kingdom,105,"250,95"
573131,27/10/2021,15622,United Kingdom,106,"381,95"
540099,4/1/2021,15808,United Kingdom,322,"733,92"
546220,10/3/2021,16745,United Kingdom,584,"541,10"
C578039,22/11/2021,17338,United Kingdom,-1,"-10,95"
560252,17/7/2021,13468,United Kingdom,61,"115,87"
569653,5/10/2021,12451,Switzerland,1650,"2539,56"
553545,17/5/2021,,United Kingdom,68,"430,14"
575475,9/11/2021,17702,United Kingdom,302,"485,60"
575703,10/11/2021,13767,United Kingdom,902,"1735,30"
556279,9/6/2021,14562,United Kingdom,59,"215,39"
578951,27/11/2021,15514,United Kingdom,277,"499,23"
578947,27/11/2021,14547,United Kingdom,438,"534,58"
570129,7/10/2021,12885,United Kingdom,293,"519,47"
566607,13/9/2021,13032,United Kingdom,175,"496,30"
580887,6/12/2021,13755,United Kingdom,80,"156,90"
C561682,28/7/2021,13631,United Kingdom,-7,"-48,65"
552523,9/5/2021,15797,United Kingdom,200,"330,00"
541263,16/1/2021,16843,United Kingdom,534,"759,06"
542796,1/2/2021,17356,United Kingdom,166,"178,22"
566776,15/9/2021,14911,EIRE,226,"368,37"
544170,16/2/2021,16148,United Kingdom,72,"76,32"
539469,19/12/2020,17841,United Kingdom,152,"283,52"
549670,11/4/2021,16168,United Kingdom,88,"141,20"
573902,1/11/2021,17428,United Kingdom,48,"311,18"
544826,24/2/2021,14513,United Kingdom,7,"18,75"
541086,13/1/2021,16503,United Kingdom,118,"353,70"
543824,14/2/2021,14631,United Kingdom,160,"309,50"
552464,9/5/2021,12726,France,333,"223,40"
C567359,19/9/2021,15201,United Kingdom,-14,"-8,59"
551515,1/5/2021,15606,United Kingdom,104,"320,88"
540160,5/1/2021,15769,United Kingdom,1032,"2574,48"
565631,5/9/2021,14680,United Kingdom,568,"1226,16"
580281,2/12/2021,12704,Finland,81,"198,76"
559157,6/7/2021,13999,United Kingdom,167,"307,03"
566257,11/9/2021,13324,United Kingdom,680,"855,60"
568724,28/9/2021,,United Kingdom,-21,"0,00"
554286,23/5/2021,17686,United Kingdom,97,"386,96"
546741,16/3/2021,13261,United Kingdom,20,"99,00"
546029,9/3/2021,15206,United Kingdom,6,"17,70"
543278,6/2/2021,16745,United Kingdom,406,"203,82"
540630,10/1/2021,17849,United Kingdom,19,"217,75"
559817,12/7/2021,,United Kingdom,652,"1839,58"
547563,24/3/2021,15651,United Kingdom,238,"227,32"
554105,22/5/2021,14711,United Kingdom,111,"213,06"
539442,17/12/2020,16558,United Kingdom,127,"311,15"
563952,22/8/2021,15572,United Kingdom,267,"679,25"
545162,28/2/2021,16187,United Kingdom,247,"480,90"
564966,31/8/2021,17677,United Kingdom,24,"34,80"
578354,24/11/2021,17139,United Kingdom,232,"468,52"
C555729,6/6/2021,13552,United Kingdom,-14,"-129,29"
550986,21/4/2021,,United Kingdom,378,"1654,97"
572926,27/10/2021,15659,United Kingdom,111,"306,45"
570292,10/10/2021,13418,United Kingdom,124,"370,68"
550972,21/4/2021,14031,United Kingdom,46,"99,63"
541850,23/1/2021,14224,United Kingdom,99,"244,30"
573124,27/10/2021,13654,United Kingdom,24,"99,60"
C565597,5/9/2021,12709,Germany,-5,"-19,03"
571080,13/10/2021,13719,United Kingdom,77,"250,49"
565420,4/9/2021,16326,United Kingdom,85,"313,05"
554633,25/5/2021,14287,United Kingdom,144,"17,28"
543464,8/2/2021,16779,United Kingdom,308,"364,32"
C540852,12/1/2021,15197,United Kingdom,-12,"-419,40"
553655,18/5/2021,16775,United Kingdom,31,"114,70"
553559,17/5/2021,14931,Channel Islands,1,"293,00"
551391,28/4/2021,15514,United Kingdom,152,"385,20"
559491,8/7/2021,,United Kingdom,119,"646,04"
544391,18/2/2021,15755,United Kingdom,198,"314,68"
C538692,14/12/2020,13599,United Kingdom,-2,"-7,24"
C542402,27/1/2021,16124,United Kingdom,-7,"-61,85"
542505,28/1/2021,,United Kingdom,2560,"0,00"
575039,8/11/2021,15005,United Kingdom,245,"327,22"
544098,16/2/2021,16019,United Kingdom,396,"1129,35"
C566472,12/9/2021,16187,United Kingdom,-8,"-39,60"
548997,5/4/2021,,United Kingdom,20,"0,00"
C562577,7/8/2021,15518,United Kingdom,-1,"-1,65"
C557879,23/6/2021,14911,EIRE,-1,"-4,25"
579495,29/11/2021,13576,United Kingdom,180,"327,48"
565852,7/9/2021,,United Kingdom,7,"14,10"
569550,4/10/2021,15955,United Kingdom,10,"8,50"
556827,15/6/2021,15134,United Kingdom,101,"171,63"
541278,17/1/2021,14135,United Kingdom,52,"167,40"
553192,15/5/2021,15333,United Kingdom,344,"1028,56"
549502,8/4/2021,,United Kingdom,1,"0,00"
548739,4/4/2021,15493,United Kingdom,106,"412,49"
562949,11/8/2021,14346,United Kingdom,501,"759,14"
542806,1/2/2021,12836,United Kingdom,254,"798,99"
573757,1/11/2021,17166,United Kingdom,21,"78,75"
542925,2/2/2021,14457,United Kingdom,88,"113,64"
545158,28/2/2021,15874,United Kingdom,52,"584,35"
549826,12/4/2021,15044,United Kingdom,114,"440,50"
573830,1/11/2021,16960,United Kingdom,76,"148,96"
548196,29/3/2021,16011,United Kingdom,63,"118,55"
575331,9/11/2021,13209,United Kingdom,593,"1049,66"
566491,13/9/2021,14060,United Kingdom,216,"294,24"
556514,13/6/2021,,United Kingdom,2,"23,25"
572670,25/10/2021,13685,United Kingdom,1524,"594,36"
554356,24/5/2021,12670,France,210,"393,34"
570868,12/10/2021,,United Kingdom,96,"0,00"
549264,7/4/2021,,United Kingdom,-21,"0,00"
566062,8/9/2021,14522,United Kingdom,251,"482,07"
545598,4/3/2021,,United Kingdom,-278,"0,00"
542965,2/2/2021,,United Kingdom,2,"0,00"
551293,27/4/2021,14298,United Kingdom,618,"428,64"
C543743,11/2/2021,12505,Italy,-1,"-4,50"
C546191,10/3/2021,16422,United Kingdom,-35,"-24,50"
C577131,17/11/2021,15861,United Kingdom,-1,"-165,00"
574747,7/11/2021,15618,United Kingdom,239,"357,81"
555846,7/6/2021,14180,United Kingdom,21,"149,15"
540455,7/1/2021,12583,France,491,"730,16"
573293,28/10/2021,,United Kingdom,10,"0,00"
562721,8/8/2021,15985,United Kingdom,208,"242,84"
545021,25/2/2021,17663,United Kingdom,179,"371,39"
555367,2/6/2021,17900,United Kingdom,49,"79,80"
569907,6/10/2021,12569,Germany,13,"77,40"
559819,12/7/2021,12682,France,117,"256,70"
C570331,10/10/2021,14606,United Kingdom,-1,"-0,39"
C565284,2/9/2021,12471,Germany,-13,"-84,72"
575579,10/11/2021,13081,United Kingdom,144,"72,00"
567918,22/9/2021,,United Kingdom,-1,"0,00"
578665,24/11/2021,16570,United Kingdom,208,"427,08"
547796,25/3/2021,14646,Netherlands,731,"1407,86"
554967,27/5/2021,,United Kingdom,1,"5,95"
C538531,13/12/2020,13715,United Kingdom,-2,"-7,50"
543032,2/2/2021,12990,United Kingdom,50,"97,50"
562166,3/8/2021,13209,United Kingdom,524,"595,26"
C561684,28/7/2021,13136,United Kingdom,-2,"-16,50"
556235,9/6/2021,12778,Netherlands,85,"84,00"
571741,19/10/2021,15610,United Kingdom,66,"112,46"
C546217,10/3/2021,14057,United Kingdom,-168,"-70,56"
537354,6/12/2020,12748,United Kingdom,85,"133,07"
560576,19/7/2021,17287,United Kingdom,110,"202,07"
581253,8/12/2021,16891,United Kingdom,28,"115,95"
576368,14/11/2021,,United Kingdom,-864,"0,00"
572913,26/10/2021,15993,United Kingdom,678,"863,89"
547324,22/3/2021,13014,United Kingdom,108,"317,80"
551900,5/5/2021,,United Kingdom,2,"0,00"
572534,24/10/2021,,United Kingdom,-2,"0,00"
579489,29/11/2021,16775,United Kingdom,27,"129,15"
565480,5/9/2021,18273,United Kingdom,40,"102,00"
565369,2/9/2021,,United Kingdom,1,"0,00"
551558,3/5/2021,17841,United Kingdom,152,"327,71"
C558202,27/6/2021,17841,United Kingdom,-3,"-7,45"
536614,2/12/2020,17850,United Kingdom,12,"22,20"
559525,10/7/2021,16923,United Kingdom,214,"391,52"
C543643,10/2/2021,16161,United Kingdom,-12,"-28,75"
536920,3/12/2020,,United Kingdom,58,"69,30"
560714,20/7/2021,14456,United Kingdom,20,"26,25"
548746,4/4/2021,12471,Germany,40,"50,00"
566248,11/9/2021,13272,United Kingdom,72,"140,96"
C577364,18/11/2021,14140,United Kingdom,-2,"-15,00"
565475,5/9/2021,14156,EIRE,5034,"7480,06"
565424,4/9/2021,15215,United Kingdom,92,"300,04"
540350,6/1/2021,18283,United Kingdom,61,"108,45"
553612,18/5/2021,17556,United Kingdom,101,"157,90"
540274,6/1/2021,14618,United Kingdom,92,"211,80"
550996,26/4/2021,16681,United Kingdom,260,"314,92"
581580,9/12/2021,12748,United Kingdom,82,"94,11"
C554519,24/5/2021,13549,United Kingdom,-1,"-2,08"
573987,2/11/2021,,United Kingdom,1,"0,00"
574149,3/11/2021,13709,United Kingdom,293,"774,90"
544408,18/2/2021,16726,United Kingdom,106,"61,00"
540273,6/1/2021,17368,United Kingdom,711,"563,15"
578993,27/11/2021,15987,United Kingdom,182,"244,86"
581395,8/12/2021,16892,United Kingdom,35,"123,12"
543279,6/2/2021,17105,United Kingdom,359,"319,40"
C546204,10/3/2021,13599,United Kingdom,-25,"-11,80"
577813,22/11/2021,14297,United Kingdom,458,"580,38"
545103,28/2/2021,15039,United Kingdom,2,"11,90"
552245,6/5/2021,12748,United Kingdom,14,"108,87"
C546416,13/3/2021,14800,United Kingdom,-8,"-10,50"
542905,1/2/2021,12540,Spain,193,"288,98"
574705,6/11/2021,14553,United Kingdom,21,"194,40"
564951,31/8/2021,,United Kingdom,1,"8,25"
565141,1/9/2021,17841,United Kingdom,212,"354,39"
576185,14/11/2021,,United Kingdom,-130,"0,00"
C562796,9/8/2021,13694,United Kingdom,-1,"-64,00"
560246,17/7/2021,14292,United Kingdom,328,"1353,10"
554026,20/5/2021,13324,United Kingdom,376,"648,72"
C549968,13/4/2021,14064,United Kingdom,-432,"-155,52"
568135,23/9/2021,,United Kingdom,664,"1934,53"
574952,8/11/2021,13924,United Kingdom,123,"172,33"
564095,23/8/2021,14930,Channel Islands,52,"165,58"
577298,18/11/2021,14299,United Kingdom,497,"525,55"
557886,23/6/2021,17799,United Kingdom,233,"580,04"
536884,3/12/2020,14589,United Kingdom,5,"39,75"
572676,25/10/2021,16258,United Kingdom,649,"1462,45"
557126,16/6/2021,18168,United Kingdom,83,"115,15"
557118,16/6/2021,14849,United Kingdom,254,"364,16"
562885,10/8/2021,14024,United Kingdom,51,"65,25"
576906,17/11/2021,18225,United Kingdom,575,"616,48"
C578274,23/11/2021,17828,Malta,-8,"-30,81"
552248,6/5/2021,12748,United Kingdom,3,"7,15"
556314,10/6/2021,,United Kingdom,-84,"0,00"
560997,22/7/2021,12627,Germany,426,"768,02"
551567,3/5/2021,,United Kingdom,13,"0,00"
569702,5/10/2021,14396,United Kingdom,186,"377,64"
580372,2/12/2021,16359,United Kingdom,91,"110,73"
543121,3/2/2021,12662,Germany,184,"336,70"
565240,2/9/2021,17949,United Kingdom,372,"1047,12"
539338,17/12/2020,17404,Sweden,3714,"2646,30"
C577390,18/11/2021,18276,United Kingdom,-1,"-6,25"
571439,17/10/2021,17206,United Kingdom,76,"204,24"
566667,14/9/2021,14660,United Kingdom,124,"156,79"
